Date,Close,Open,High,Low,Change,Volume
2022-02-25,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-24,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-23,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-22,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-21,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-18,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-17,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-16,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-15,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-14,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-11,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-10,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-09,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-08,20.7,20.7,20.7,20.7,0.0,0.0
2022-02-07,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-28,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-27,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-26,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-25,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-24,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-21,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-20,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-19,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-18,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-17,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-14,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-13,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-12,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-11,20.7,20.7,20.7,20.7,0.0,0.0
2022-01-10,20.7,20.7,20.7,20.7,2.7,100.0
2022-01-07,18.0,18.0,18.0,18.0,-3.0,400.0
2022-01-06,21.0,21.0,21.0,21.0,0.0,0.0
2022-01-05,21.0,21.0,21.0,21.0,0.0,0.0
2022-01-04,21.0,21.0,21.0,21.0,0.0,0.0
2021-12-31,21.0,21.0,21.0,21.0,0.0,0.0
2021-12-30,21.0,21.0,21.0,21.0,0.0,0.0
2021-12-29,21.0,21.0,21.0,21.0,0.0,0.0
2021-12-28,21.0,21.0,21.0,21.0,0.0,0.0
2021-12-27,21.0,21.0,21.0,21.0,0.0,0.0
2021-12-24,21.0,21.0,21.0,21.0,0.0,0.0
2021-12-23,21.0,21.0,21.0,21.0,0.0,0.0
