Date,Close,Open,High,Low,Change,Volume
2022-02-25,7.5,7.6,7.6,7.2,0.1,5200.0
2022-02-24,7.4,7.4,7.5,7.4,-0.1,2600.0
2022-02-23,7.6,7.4,7.7,7.3,-0.1,3800.0
2022-02-22,7.7,7.7,7.8,7.7,0.0,700.0
2022-02-21,7.4,7.9,7.9,7.3,-0.3,1800.0
2022-02-18,7.9,7.2,8.0,7.2,0.7,3800.0
2022-02-17,7.2,7.3,7.3,7.0,-0.1,2400.0
2022-02-16,7.3,7.1,7.3,7.1,0.1,1000.0
2022-02-15,7.2,7.2,7.2,7.2,0.0,700.0
2022-02-14,7.1,7.5,7.5,7.1,-0.4,2500.0
2022-02-11,7.5,7.2,7.9,7.2,0.1,6200.0
2022-02-10,7.5,7.3,7.5,7.3,0.2,600.0
2022-02-09,7.5,7.6,7.6,7.2,-0.2,4800.0
2022-02-08,7.5,8.1,8.1,7.2,0.0,2300.0
2022-02-07,7.5,7.4,7.6,7.4,0.7,3500.0
2022-01-28,6.8,6.8,6.8,6.8,-0.4,700.0
2022-01-27,7.2,7.2,7.2,7.2,-0.1,600.0
2022-01-26,7.2,7.2,7.4,7.2,0.0,900.0
2022-01-25,7.3,7.2,7.3,7.2,0.0,5700.0
2022-01-24,7.2,7.2,7.3,7.2,0.0,900.0
2022-01-21,7.0,7.3,8.0,7.0,-0.4,3300.0
2022-01-20,7.3,7.4,7.4,7.3,-0.1,4500.0
2022-01-19,7.4,7.2,7.5,7.2,0.2,1500.0
2022-01-18,8.0,7.0,8.0,7.0,1.0,9200.0
2022-01-17,7.1,6.8,7.2,6.6,-0.5,2100.0
2022-01-14,7.8,7.6,7.8,7.6,-1.0,3200.0
2022-01-13,8.6,10.5,10.5,8.6,-1.3,8000.0
2022-01-12,9.2,10.9,11.9,9.0,-1.2,12300.0
2022-01-11,10.4,9.3,10.4,9.3,1.3,16500.0
2022-01-10,9.3,8.2,9.3,8.1,1.2,21200.0
2022-01-07,8.2,7.9,8.5,7.9,0.4,9500.0
2022-01-06,7.8,7.8,7.9,7.7,0.0,6800.0
2022-01-05,7.9,7.6,8.0,7.6,0.2,5300.0
2022-01-04,7.6,7.7,8.0,7.6,-0.2,6600.0
2021-12-31,7.7,7.6,8.0,7.6,0.1,2800.0
2021-12-30,7.6,7.7,7.7,7.5,-0.3,3700.0
2021-12-29,7.8,7.8,8.1,7.8,-0.1,1600.0
2021-12-28,7.9,7.5,8.1,7.5,0.2,5000.0
2021-12-27,7.9,8.1,8.1,7.4,0.1,2500.0
2021-12-24,8.1,7.0,8.1,6.5,0.9,3000.0
2021-12-23,7.2,7.2,7.3,7.2,-0.5,7100.0
2021-12-22,7.6,7.8,8.1,7.5,-0.3,6500.0
2021-12-21,8.1,7.8,8.2,7.6,0.5,3800.0
2021-12-20,8.1,8.0,8.3,7.2,-0.1,5300.0
2021-12-17,8.1,8.2,8.2,8.1,-0.1,5100.0
2021-12-16,8.2,8.2,9.6,8.2,-1.4,18600.0
2021-12-15,9.6,9.7,9.7,9.6,-1.6,1600.0
2021-12-14,11.4,11.1,11.4,11.1,-1.6,300.0
2021-12-13,13.0,13.0,13.0,13.0,0.0,0.0
2021-12-10,13.0,13.0,13.0,13.0,0.0,0.0
2021-12-09,13.0,13.0,13.0,13.0,0.0,0.0
2021-12-08,13.0,13.0,13.0,13.0,0.0,0.0
2021-12-07,13.0,13.0,13.0,13.0,0.0,0.0
2021-12-06,13.0,13.0,13.0,13.0,0.0,0.0
2021-12-03,13.0,13.0,13.0,13.0,-2.2,500.0
2021-12-02,15.2,15.2,15.2,15.2,0.0,0.0
2021-12-01,14.5,15.7,15.7,14.5,0.4,2800.0
2021-11-30,14.0,13.6,14.2,13.6,1.6,3100.0
2021-11-29,12.4,12.4,12.4,12.4,1.6,1100.0
2021-11-26,10.8,10.8,10.8,10.8,1.4,4026.0
2021-11-25,9.4,9.4,9.4,9.4,1.2,100.0
