Date,Close,Open,High,Low,Change,Volume
2022-02-25,101.4,102.5,103.0,101.0,-0.6,26374.0
2022-02-24,102.0,104.0,106.0,99.3,-4.0,64165.0
2022-02-23,106.0,104.6,109.0,103.6,1.3,29239.0
2022-02-22,104.7,105.0,105.0,102.5,-1.2,44522.0
2022-02-21,105.9,101.0,108.0,101.0,4.9,55501.0
2022-02-18,101.0,100.0,101.0,99.1,0.3,35042.0
2022-02-17,100.7,101.9,101.9,99.5,0.7,24279.0
2022-02-16,100.0,100.0,101.0,99.0,0.1,30407.0
2022-02-15,99.9,101.9,101.9,98.0,-2.0,41949.0
2022-02-14,101.9,103.7,103.7,99.0,-1.8,91881.0
2022-02-11,103.7,103.0,103.8,101.0,-0.1,29757.0
2022-02-10,103.8,103.8,104.5,101.2,0.0,17623.0
2022-02-09,103.8,99.5,104.4,94.0,4.3,62153.0
2022-02-08,99.5,104.9,105.0,99.5,-5.5,52481.0
2022-02-07,105.0,109.2,110.0,101.1,-4.0,40867.0
2022-01-28,109.0,100.1,109.0,95.1,9.0,42985.0
2022-01-27,100.0,101.0,104.0,97.0,-0.5,51302.0
2022-01-26,100.5,112.0,112.0,99.9,-10.5,82957.0
2022-01-25,111.0,112.0,115.0,109.5,0.5,30737.0
2022-01-24,110.5,115.1,120.5,108.0,-9.5,77241.0
2022-01-21,120.0,114.0,120.0,110.2,6.0,34811.0
2022-01-20,114.0,107.0,116.6,107.0,8.0,33079.0
2022-01-19,106.0,102.6,107.0,93.0,3.4,95665.0
2022-01-18,102.6,114.0,118.9,102.6,-11.4,80664.0
2022-01-17,114.0,126.0,127.0,114.0,-12.0,61977.0
2022-01-14,126.0,121.1,127.0,121.0,1.0,29412.0
2022-01-13,125.0,120.0,129.0,120.0,-2.8,43736.0
2022-01-12,127.8,130.9,131.0,126.1,-3.2,33812.0
2022-01-11,131.0,132.8,132.8,128.5,-1.9,27643.0
2022-01-10,132.9,126.0,138.0,126.0,6.0,159980.0
2022-01-07,126.9,126.0,126.9,124.1,0.4,51335.0
2022-01-06,126.5,124.1,127.9,124.0,1.0,59130.0
2022-01-05,125.5,126.9,127.0,123.1,-0.5,40042.0
2022-01-04,126.0,126.0,127.0,123.0,0.1,73540.0
2021-12-31,125.9,126.3,127.0,124.5,-0.3,21320.0
2021-12-30,126.2,126.0,127.9,124.0,0.2,21660.0
2021-12-29,126.0,127.0,129.0,116.0,-2.8,32749.0
2021-12-28,128.8,129.0,129.8,128.5,-0.2,23284.0
2021-12-27,129.0,129.0,130.0,128.3,1.0,44283.0
2021-12-24,128.0,126.0,128.0,126.0,2.0,17136.0
2021-12-23,126.0,125.0,130.5,125.0,1.0,80363.0
2021-12-22,125.0,128.3,129.0,125.0,-4.1,87288.0
2021-12-21,129.1,129.1,130.0,128.0,-0.8,35982.0
2021-12-20,129.9,131.0,131.0,129.0,-0.1,47038.0
2021-12-17,130.0,132.0,133.0,127.0,-2.0,70456.0
2021-12-16,132.0,130.3,135.0,130.0,1.7,108313.0
2021-12-15,130.3,134.4,134.4,129.6,-4.1,41243.0
2021-12-14,134.4,140.0,140.1,134.4,-5.6,99643.0
2021-12-13,140.0,130.0,142.0,130.0,10.0,132435.0
2021-12-10,130.0,129.7,130.0,126.3,3.8,79998.0
2021-12-09,126.2,124.8,130.5,124.8,1.3,40075.0
2021-12-08,124.9,125.0,126.0,124.3,0.0,25735.0
2021-12-07,124.9,124.0,126.2,123.5,0.1,54441.0
2021-12-06,124.8,128.0,129.0,123.0,-3.2,113711.0
2021-12-03,128.0,132.0,132.0,127.2,-2.0,56952.0
2021-12-02,130.0,128.0,131.5,128.0,3.3,80210.0
2021-12-01,126.7,130.0,130.0,126.1,-3.3,53137.0
2021-11-30,130.0,132.4,132.4,129.0,-2.4,33861.0
2021-11-29,132.4,125.0,133.0,123.0,0.4,101357.0
2021-11-26,132.0,137.9,142.0,132.0,-4.8,85132.0
2021-11-25,136.8,134.5,137.4,131.0,2.3,102347.0
2021-11-24,134.5,129.0,135.0,129.0,7.5,126732.0
2021-11-23,127.0,123.5,127.0,115.0,3.0,111036.0
2021-11-22,124.0,130.0,135.0,123.0,-4.0,186334.0
2021-11-19,128.0,130.4,133.0,128.0,-2.4,159434.0
2021-11-18,130.4,136.5,136.5,125.0,-4.9,234877.0
2021-11-17,135.3,138.0,139.8,135.2,-2.7,131606.0
2021-11-16,138.0,141.5,141.6,134.9,-4.0,134072.0
2021-11-15,142.0,142.0,142.0,138.7,-1.9,142080.0
2021-11-12,143.9,144.0,146.0,141.0,-1.1,118778.0
2021-11-11,145.0,143.9,146.0,142.5,1.5,133906.0
2021-11-10,143.5,143.0,143.9,140.1,1.1,102568.0
2021-11-09,142.4,142.0,147.0,137.0,0.4,202219.0
2021-11-08,142.0,146.0,147.0,140.0,-4.7,161226.0
2021-11-05,146.7,148.8,148.8,136.0,11.4,168161.0
2021-11-04,135.3,123.0,135.3,118.5,12.3,331641.0
2021-11-03,123.0,120.0,130.0,110.1,4.0,299610.0
2021-11-02,119.0,119.0,119.9,116.2,4.0,216344.0
2021-11-01,115.0,108.9,115.0,104.9,6.1,274947.0
2021-10-29,108.9,105.7,109.0,104.6,3.4,119618.0
2021-10-28,105.5,115.9,116.0,105.2,-4.5,136154.0
2021-10-27,110.0,106.0,114.0,104.9,4.5,159965.0
2021-10-26,105.5,108.9,110.0,101.0,0.5,90939.0
2021-10-25,105.0,100.0,108.0,100.0,5.0,83574.0
2021-10-22,100.0,93.5,100.0,93.5,6.7,157791.0
2021-10-21,93.3,91.5,93.5,91.5,1.8,101627.0
2021-10-20,91.5,91.5,91.5,88.5,0.0,48903.0
2021-10-19,91.5,89.0,91.5,87.1,2.5,96980.0
2021-10-18,89.0,85.9,91.0,85.1,3.1,158995.0
2021-10-15,85.9,85.3,86.8,84.8,-0.9,89104.0
2021-10-14,86.8,87.0,87.0,85.0,-0.1,55792.0
2021-10-13,86.9,86.9,87.5,85.0,0.0,81051.0
2021-10-12,86.9,80.5,88.0,80.0,6.4,249623.0
2021-10-11,80.5,80.5,81.0,79.1,0.0,78485.0
2021-10-08,80.5,81.0,81.0,78.6,-0.5,113355.0
2021-10-07,81.0,89.8,89.8,80.0,-0.7,95479.0
2021-10-06,81.7,82.0,82.2,80.4,-0.3,104925.0
2021-10-05,82.0,80.0,82.0,76.0,2.0,235604.0
2021-10-04,80.0,82.0,84.5,79.4,0.6,104425.0
2021-10-01,79.4,74.5,79.4,74.5,7.2,315384.0
2021-09-30,72.2,65.0,72.2,64.0,6.5,206427.0
2021-09-29,65.7,62.0,65.7,61.0,3.7,76251.0
2021-09-28,62.0,62.0,62.0,61.0,0.0,39523.0
2021-09-27,62.0,64.0,65.9,62.0,-2.0,76979.0
2021-09-24,64.0,65.5,65.5,63.5,-1.8,17362.0
2021-09-23,65.8,67.8,67.8,65.5,-1.1,44130.0
2021-09-22,66.9,62.6,68.0,62.4,4.3,45472.0
2021-09-21,62.6,64.0,64.0,62.0,-1.6,67340.0
2021-09-20,64.2,64.4,64.6,64.0,-0.1,57123.0
2021-09-17,64.3,64.5,64.7,63.6,-0.1,48188.0
2021-09-16,64.4,65.0,65.0,64.0,-0.6,31494.0
2021-09-15,65.0,65.0,65.0,64.4,0.2,43106.0
2021-09-14,64.8,65.1,65.1,64.4,-0.4,72770.0
2021-09-13,65.2,66.9,67.0,64.8,-0.6,50880.0
2021-09-10,65.8,65.0,65.8,64.6,0.1,59044.0
2021-09-09,65.7,65.5,66.5,64.5,0.2,53723.0
2021-09-08,65.5,65.0,66.7,65.0,0.2,51640.0
2021-09-07,65.3,67.5,67.5,64.0,-2.7,130095.0
2021-09-06,68.0,71.0,71.0,68.0,-3.1,90766.0
2021-09-01,71.1,71.0,73.0,70.0,-0.8,58197.0
2021-08-31,71.9,67.7,72.0,67.5,3.7,52890.0
2021-08-30,68.2,68.0,69.0,65.8,0.2,122556.0
2021-08-27,68.0,68.0,68.0,66.5,0.0,110954.0
2021-08-26,68.0,66.4,69.1,66.4,1.6,103810.0
2021-08-25,66.4,63.5,68.0,63.5,2.4,112923.0
2021-08-24,64.0,70.9,71.0,64.0,-7.0,300314.0
2021-08-23,71.0,70.0,76.0,70.0,-4.1,89357.0
2021-08-20,75.1,78.6,79.0,75.0,-3.4,157860.0
2021-08-19,78.5,79.8,79.8,78.2,-1.3,67166.0
2021-08-18,79.8,79.5,80.0,79.1,-0.2,32455.0
2021-08-17,80.0,81.9,81.9,79.6,-1.5,41183.0
2021-08-16,81.5,81.2,81.5,79.0,0.2,43886.0
2021-08-13,81.3,79.4,82.0,79.3,0.3,61856.0
2021-08-12,81.0,79.0,82.0,77.0,1.1,80236.0
2021-08-11,79.9,80.9,80.9,78.5,-1.0,68510.0
2021-08-10,80.9,82.4,82.4,79.5,-0.6,94426.0
2021-08-09,81.5,80.0,84.0,80.0,1.5,93547.0
2021-08-06,80.0,78.0,85.0,78.0,2.0,206440.0
2021-08-05,78.0,77.0,79.0,76.9,1.0,35324.0
2021-08-04,77.0,71.0,77.9,70.0,6.0,208050.0
2021-08-03,71.0,70.5,71.1,70.0,0.5,68983.0
2021-08-02,70.5,71.3,72.0,70.0,-1.5,101382.0
2021-07-30,72.0,72.5,72.5,70.5,0.0,91127.0
2021-07-29,72.0,68.0,72.0,68.0,5.2,129535.0
2021-07-28,66.8,62.4,68.3,62.3,4.7,139671.0
2021-07-27,62.1,62.2,62.7,61.5,-0.3,63940.0
2021-07-26,62.4,58.4,62.5,58.4,3.9,107158.0
2021-07-23,58.5,58.0,59.6,58.0,0.3,56093.0
2021-07-22,58.2,55.7,59.0,55.3,2.5,171437.0
2021-07-21,55.7,55.0,57.5,55.0,0.7,84400.0
2021-07-20,55.0,54.7,55.0,54.6,0.3,19533.0
2021-07-19,54.7,55.0,55.1,54.2,-1.3,22900.0
2021-07-16,56.0,54.8,56.5,54.0,1.2,65638.0
2021-07-15,54.8,55.0,55.0,50.2,-0.2,86305.0
2021-07-14,55.0,53.6,55.3,49.8,-0.1,53800.0
2021-07-13,55.1,55.0,55.5,55.0,0.0,25045.0
2021-07-12,55.1,57.6,57.6,54.3,-2.5,279410.0
2021-07-09,57.6,58.1,58.5,57.2,-0.3,41200.0
2021-07-08,57.9,57.9,58.2,56.5,0.0,81645.0
2021-07-07,57.9,57.6,58.1,55.1,0.3,234535.0
2021-07-06,57.6,58.6,58.9,57.6,-0.8,50511.0
2021-07-05,58.4,58.4,59.0,57.1,0.4,38394.0
2021-07-02,58.0,59.0,59.0,57.8,-0.2,56283.0
2021-07-01,58.2,58.9,60.5,58.0,-0.8,60944.0
2021-06-30,59.0,58.8,60.0,58.4,0.5,50054.0
2021-06-29,58.5,58.5,61.4,57.8,2.6,30358.0
2021-06-28,59.3,58.5,61.0,58.5,0.9,108796.0
2021-06-25,58.4,58.4,58.5,57.0,0.0,38495.0
2021-06-24,58.4,58.5,58.7,57.5,-0.6,38730.0
2021-06-23,59.0,59.0,59.5,58.0,0.0,24880.0
2021-06-22,59.0,59.9,63.0,58.0,-0.9,110587.0
2021-06-21,59.9,58.6,60.5,58.6,1.3,114863.0
2021-06-18,58.6,55.0,60.0,55.0,3.6,131950.0
2021-06-17,55.0,50.9,56.0,50.8,4.0,73531.0
2021-06-16,51.0,52.4,53.1,50.5,-1.4,50433.0
2021-06-15,52.4,53.0,53.3,51.5,-0.9,274025.0
2021-06-14,53.3,49.0,53.4,49.0,4.7,115260.0
2021-06-11,48.6,48.0,49.1,47.7,1.2,78095.0
2021-06-10,47.4,45.8,48.0,45.0,1.9,333925.0
2021-06-09,45.5,45.5,46.3,45.0,0.3,96300.0
2021-06-08,45.2,45.5,45.5,44.6,-0.3,61615.0
2021-06-07,45.5,45.8,45.8,44.1,-0.3,80665.0
2021-06-04,45.8,46.8,46.9,45.2,0.0,136519.0
2021-06-03,46.8,46.8,47.0,46.2,0.1,157600.0
2021-06-02,46.7,45.4,47.0,45.4,1.3,79540.0
2021-06-01,45.4,45.0,45.5,44.2,0.8,70220.0
2021-05-31,44.6,44.1,46.0,44.1,0.4,56720.0
2021-05-28,44.2,44.1,44.7,43.7,-0.7,175800.0
2021-05-27,44.9,46.0,46.5,44.0,-1.0,124800.0
2021-05-26,45.9,45.9,46.5,45.0,0.0,108100.0
2021-05-25,45.9,46.9,47.4,45.8,-1.0,84910.0
2021-05-24,46.9,47.3,47.3,46.3,-1.1,72447.0
2021-05-21,48.0,45.4,48.0,44.0,2.6,59500.0
2021-05-20,45.4,48.0,48.0,45.4,-2.1,70490.0
2021-05-19,47.5,46.5,47.9,46.0,1.0,124290.0
2021-05-18,46.5,44.2,47.0,44.2,2.3,120370.0
2021-05-17,44.2,41.0,45.0,41.0,3.2,170219.0
2021-05-14,41.0,41.5,41.8,40.4,-0.5,72065.0
2021-05-13,41.5,42.2,42.3,40.1,-0.5,55800.0
2021-05-12,42.0,42.2,42.2,41.0,0.1,102373.0
2021-05-11,41.9,41.7,42.5,40.5,0.5,160500.0
2021-05-10,41.4,41.0,41.5,40.5,0.4,78745.0
2021-05-07,41.0,40.5,41.3,39.5,0.5,142523.0
2021-05-06,40.5,39.4,41.5,39.4,1.1,192300.0
2021-05-05,39.4,39.4,40.0,39.0,0.1,52310.0
2021-05-04,39.3,38.0,40.0,36.4,1.3,162500.0
2021-04-29,38.0,39.0,39.0,34.5,-0.1,47693.0
2021-04-28,38.1,38.0,38.2,37.7,0.2,35400.0
2021-04-27,37.9,38.0,38.5,37.5,0.4,53300.0
2021-04-26,37.5,38.5,38.6,37.5,-0.4,59156.0
2021-04-23,37.9,37.2,37.9,36.1,0.7,68130.0
2021-04-22,37.2,38.9,38.9,37.1,-1.7,89316.0
2021-04-20,38.9,38.6,39.2,38.0,-0.1,80165.0
2021-04-19,39.0,40.0,40.0,38.3,0.6,79145.0
2021-04-16,38.4,38.8,38.8,36.0,-0.2,70701.0
2021-04-15,38.6,38.5,39.5,38.2,0.1,58234.0
2021-04-14,38.5,38.2,38.7,37.5,0.3,51646.0
2021-04-13,38.2,39.5,39.9,38.0,-1.3,67501.0
