Date,Close,Open,High,Low,Change,Volume
2022-02-25,24.1,24.6,24.75,24.1,-0.15,3957400.0
2022-02-24,24.25,25.4,25.6,23.7,-1.2,5278600.0
2022-02-23,25.45,25.0,25.9,24.9,0.6,3191300.0
2022-02-22,24.85,25.0,25.7,24.2,-1.05,6265500.0
2022-02-21,25.9,25.5,26.5,25.3,0.7,5288200.0
2022-02-18,25.2,24.1,25.4,23.75,1.0,3739100.0
2022-02-17,24.2,24.45,24.65,24.0,-0.35,3485300.0
2022-02-16,24.55,23.9,24.9,23.6,1.05,4071900.0
2022-02-15,23.5,23.6,23.9,23.2,0.2,2265200.0
2022-02-14,23.3,22.1,24.2,22.0,0.4,5915400.0
2022-02-11,22.9,23.1,23.65,22.75,-0.65,3065200.0
2022-02-10,23.55,23.55,24.5,23.2,0.25,3508000.0
2022-02-09,23.3,20.85,23.3,20.6,1.5,7043400.0
2022-02-08,21.8,22.6,23.4,21.6,-1.4,5009700.0
2022-02-07,23.2,22.4,23.5,22.15,1.2,2269500.0
2022-01-28,22.0,19.85,22.0,19.85,0.7,6940200.0
2022-01-27,21.3,21.5,22.0,21.3,-1.55,3031600.0
2022-01-26,22.85,24.55,25.2,22.85,-1.7,6322200.0
2022-01-25,24.55,24.55,25.6,24.55,-1.8,7716600.0
2022-01-24,26.35,27.6,27.6,26.35,-1.95,3532400.0
2022-01-21,28.3,29.0,29.55,28.0,0.2,3391300.0
2022-01-20,28.1,24.5,28.1,24.5,1.8,15275000.0
2022-01-19,26.3,26.3,27.0,26.3,-1.95,4435500.0
2022-01-18,28.25,28.25,28.25,28.25,-2.1,826500.0
2022-01-17,30.35,33.5,33.6,30.35,-2.25,5334300.0
2022-01-14,32.6,31.2,35.7,31.2,-0.9,10044500.0
2022-01-13,33.5,36.3,36.95,33.5,-2.5,4631800.0
2022-01-12,36.0,34.4,37.0,33.0,1.4,7951800.0
2022-01-11,34.6,33.0,34.7,32.05,2.15,7827800.0
2022-01-10,32.45,32.5,34.45,31.8,0.25,6992000.0
2022-01-07,32.2,32.3,32.65,31.6,0.3,3491700.0
2022-01-06,31.9,31.9,32.3,30.7,0.45,6782700.0
2022-01-05,31.45,31.1,31.45,30.5,2.05,6412700.0
2022-01-04,29.4,27.2,29.4,27.2,1.9,3815700.0
2021-12-31,27.5,28.4,28.8,27.35,-0.8,5266100.0
2021-12-30,28.3,28.55,29.55,28.3,-0.25,3556400.0
2021-12-29,28.55,29.7,30.0,28.55,-1.4,6733700.0
2021-12-28,29.95,29.7,30.4,29.1,0.55,4541400.0
2021-12-27,29.4,29.1,30.0,28.35,-0.1,4803800.0
2021-12-24,29.5,31.15,31.5,29.3,-0.8,4679800.0
2021-12-23,30.3,29.0,30.3,28.4,1.95,7347800.0
2021-12-22,28.35,26.85,28.35,26.35,1.85,8868200.0
2021-12-21,26.5,26.25,27.2,26.1,-0.15,6578400.0
2021-12-20,26.65,27.8,27.8,26.1,-1.2,6989200.0
2021-12-17,27.85,27.75,28.4,27.7,0.1,5692000.0
2021-12-16,27.75,26.6,28.0,25.6,1.05,10092700.0
2021-12-15,26.7,27.0,27.7,26.3,-0.15,6318400.0
2021-12-14,26.85,25.9,27.3,25.5,0.95,7994900.0
2021-12-13,25.9,24.5,26.25,24.5,1.35,7462000.0
2021-12-10,24.55,24.8,25.5,24.3,0.6,6840700.0
2021-12-09,23.95,21.9,23.95,21.7,1.55,8606700.0
2021-12-08,22.4,23.05,23.45,22.25,-0.55,7982400.0
2021-12-07,22.95,23.75,24.25,22.6,0.0,7794700.0
2021-12-06,22.95,22.5,23.0,21.8,1.45,12901700.0
2021-12-03,21.5,23.85,23.85,21.5,-0.8,10720000.0
2021-12-02,22.3,20.8,22.3,20.4,1.45,5438400.0
2021-12-01,20.85,21.25,21.95,20.3,-0.4,12773600.0
2021-11-30,21.25,21.25,21.25,20.2,1.35,9630300.0
2021-11-29,19.9,19.8,19.9,19.0,1.3,8529000.0
2021-11-26,18.6,17.6,18.6,17.45,1.2,8817400.0
2021-11-25,17.4,17.05,17.6,17.0,0.3,3388700.0
2021-11-24,17.1,17.4,17.65,16.5,-0.2,4106300.0
2021-11-23,17.3,16.5,17.45,16.5,0.65,3910400.0
2021-11-22,16.65,18.0,18.15,16.65,-1.25,6736700.0
2021-11-19,17.9,18.2,18.75,16.8,-0.15,7980100.0
2021-11-18,18.05,17.8,18.7,17.6,0.25,6234200.0
2021-11-17,17.8,17.9,18.0,17.7,-0.2,3024300.0
2021-11-16,18.0,18.0,18.5,17.25,0.0,6186700.0
2021-11-15,18.0,17.9,18.4,17.5,0.25,7929400.0
2021-11-12,18.05,17.7,18.25,17.3,0.45,6023800.0
2021-11-11,17.6,17.9,18.15,17.3,-0.1,6232700.0
2021-11-10,17.7,16.8,17.7,16.45,1.1,10410000.0
2021-11-09,16.6,16.6,16.95,16.4,0.05,4045600.0
2021-11-08,16.55,16.4,16.8,16.25,0.15,4680500.0
2021-11-05,16.4,16.45,16.5,16.1,0.15,2747200.0
2021-11-04,16.25,16.05,16.55,15.8,0.15,4248000.0
2021-11-03,16.1,17.4,17.55,16.1,-1.2,9223500.0
2021-11-02,17.3,16.5,17.35,16.5,0.8,6276100.0
2021-11-01,16.5,17.0,17.1,16.4,-0.4,5900600.0
2021-10-29,16.9,16.7,17.45,16.55,0.4,5530600.0
2021-10-28,16.5,16.8,16.8,16.45,-0.1,4160900.0
2021-10-27,16.6,16.45,16.95,16.35,0.15,4766700.0
2021-10-26,16.45,16.3,16.5,16.0,0.1,3823100.0
2021-10-25,16.35,16.5,16.8,16.2,-0.15,4325000.0
2021-10-22,16.5,16.05,16.85,16.05,0.75,8852200.0
2021-10-21,15.75,15.4,15.85,15.2,0.45,3813500.0
2021-10-20,15.3,15.6,15.65,15.0,-0.1,3864400.0
2021-10-19,15.4,15.3,15.75,15.0,0.1,3489600.0
2021-10-18,15.3,15.65,15.9,15.3,-0.35,4106400.0
2021-10-15,15.65,15.85,16.0,15.45,-0.15,4492200.0
2021-10-14,15.8,15.7,16.15,15.65,0.15,4537500.0
2021-10-13,15.65,15.85,15.9,15.55,-0.1,2859700.0
2021-10-12,15.75,15.35,15.95,15.3,0.4,7199500.0
2021-10-11,15.35,15.3,15.7,15.25,0.0,6080600.0
2021-10-08,15.35,15.7,15.7,15.3,-0.25,4105900.0
2021-10-07,15.6,15.6,16.0,15.45,0.15,6900600.0
2021-10-06,15.45,14.6,15.45,14.55,1.0,14758700.0
2021-10-05,14.45,14.7,14.75,14.4,-0.1,2380800.0
2021-10-04,14.55,13.95,14.8,13.9,0.55,6915000.0
2021-10-01,14.0,13.8,14.1,13.7,0.1,2046600.0
2021-09-30,13.9,14.0,14.2,13.85,-0.1,1670400.0
2021-09-29,14.0,13.65,14.2,13.5,0.5,3819600.0
2021-09-28,13.5,13.1,13.6,13.1,0.3,2201800.0
2021-09-27,13.2,13.85,13.9,13.2,-0.65,3443100.0
2021-09-24,13.85,14.0,14.1,13.8,-0.1,3168300.0
2021-09-23,13.95,14.2,14.35,13.9,-0.15,2870700.0
2021-09-22,14.1,13.8,14.2,13.7,0.4,3410200.0
2021-09-21,13.7,13.4,13.85,13.35,-0.15,4880900.0
2021-09-20,13.85,14.45,14.5,13.75,-0.55,5810100.0
2021-09-17,14.4,14.35,14.75,14.3,0.05,3729800.0
2021-09-16,14.35,14.7,14.95,14.3,-0.15,3744600.0
2021-09-15,14.5,13.5,14.55,13.5,0.9,6539600.0
2021-09-14,13.6,13.65,14.0,13.6,-0.1,2730000.0
2021-09-13,13.7,13.95,14.0,13.65,-0.25,4136300.0
2021-09-10,13.95,14.6,14.6,13.9,-0.25,4105100.0
2021-09-09,14.2,13.7,14.35,13.7,0.35,3036800.0
2021-09-08,13.85,14.15,14.3,13.8,-0.4,5071100.0
2021-09-07,14.25,14.8,14.85,14.1,-0.55,5162500.0
2021-09-06,14.8,14.5,15.05,14.3,0.7,9147000.0
2021-09-01,14.1,13.4,14.25,13.4,0.55,4812300.0
2021-08-31,13.55,14.0,14.0,13.5,-0.45,4195500.0
