Date,Close,Open,High,Low,Change,Volume
2022-02-25,11.65,12.0,12.0,11.65,0.0,6300.0
2022-02-24,11.65,12.15,12.3,11.6,-0.5,1400.0
2022-02-23,12.15,11.65,12.2,11.6,-0.1,1400.0
2022-02-22,12.25,11.9,12.3,11.4,0.35,4600.0
2022-02-21,11.9,11.7,11.9,11.7,-0.1,8600.0
2022-02-18,12.0,12.0,12.0,12.0,0.3,300.0
2022-02-17,11.7,11.6,12.2,11.6,0.05,7400.0
2022-02-16,11.65,12.05,12.05,11.65,-0.45,700.0
2022-02-15,12.1,12.2,12.2,12.1,-0.1,200.0
2022-02-14,12.2,12.2,12.2,12.2,0.0,100.0
2022-02-11,12.2,12.2,12.2,12.2,0.0,100.0
2022-02-10,12.2,11.55,12.2,11.55,0.3,500.0
2022-02-09,11.9,11.9,11.9,11.9,0.0,1900.0
2022-02-08,11.9,11.9,11.9,11.55,0.0,300.0
2022-02-07,11.9,11.6,11.9,11.2,0.3,1300.0
2022-01-28,11.6,11.8,11.8,11.6,-0.25,400.0
2022-01-27,11.85,11.85,11.85,11.85,-0.05,200.0
2022-01-26,11.9,11.55,11.9,11.55,0.35,1100.0
2022-01-25,11.55,11.6,11.6,11.55,-0.45,300.0
2022-01-24,12.0,12.1,12.1,12.0,0.0,600.0
2022-01-21,12.0,12.2,12.2,11.2,0.0,6800.0
2022-01-20,12.0,11.55,12.0,11.55,0.2,200.0
2022-01-19,11.8,10.65,11.8,10.65,0.4,400.0
2022-01-18,11.4,11.7,11.7,11.4,-0.4,5400.0
2022-01-17,11.8,12.2,12.2,11.8,-0.45,1100.0
2022-01-14,12.25,12.0,12.25,11.8,-0.05,2200.0
2022-01-13,12.3,12.3,12.3,12.3,-0.1,200.0
2022-01-12,12.4,11.9,12.4,11.9,-0.05,500.0
2022-01-11,12.45,12.5,12.5,11.8,0.0,1200.0
2022-01-10,12.45,12.2,12.5,12.2,0.3,5900.0
2022-01-07,12.15,12.1,12.2,11.8,0.05,7600.0
2022-01-06,12.1,12.1,12.1,12.05,0.1,1800.0
2022-01-05,12.0,11.8,12.0,11.8,0.2,2100.0
2022-01-04,11.8,11.9,12.0,11.7,-0.1,2400.0
2021-12-31,11.9,11.9,12.2,11.9,-0.1,1400.0
2021-12-30,12.0,12.0,12.0,11.9,0.0,400.0
2021-12-29,12.0,12.2,12.2,11.9,0.0,400.0
2021-12-28,12.0,12.15,12.2,11.9,0.25,8900.0
2021-12-27,11.75,11.7,12.2,11.7,-0.15,3600.0
2021-12-24,11.9,12.0,12.0,11.9,-0.1,2700.0
2021-12-23,12.0,12.3,12.3,11.75,0.1,33600.0
2021-12-22,11.9,11.9,12.3,11.9,0.0,5900.0
2021-12-21,11.9,12.0,12.0,11.9,-0.1,10900.0
2021-12-20,12.0,12.0,12.0,12.0,0.0,4000.0
2021-12-17,12.0,12.25,12.25,12.0,-0.25,7600.0
2021-12-16,12.25,12.25,12.25,12.25,-0.2,200.0
2021-12-15,12.45,12.5,12.5,12.0,-0.05,2800.0
2021-12-14,12.5,12.0,12.5,12.0,0.5,8600.0
2021-12-13,12.0,12.5,12.5,12.0,0.0,4500.0
2021-12-10,12.0,12.0,12.0,11.9,0.1,1200.0
2021-12-09,11.9,12.1,12.1,11.9,0.1,1800.0
2021-12-08,11.8,12.0,12.0,11.8,-0.1,1200.0
2021-12-07,11.9,12.0,12.0,11.9,0.0,800.0
2021-12-06,11.9,12.0,12.0,11.9,-0.1,1800.0
2021-12-03,12.0,12.45,12.5,11.9,-0.45,1700.0
2021-12-02,12.45,12.05,12.45,11.9,0.45,2400.0
2021-12-01,12.0,12.4,12.4,12.0,-0.4,800.0
2021-11-30,12.4,12.0,12.5,11.9,0.35,14600.0
2021-11-29,12.05,12.2,12.2,12.05,-0.05,700.0
2021-11-26,12.1,12.1,12.6,12.0,-0.6,2800.0
2021-11-25,12.7,12.7,12.7,12.7,0.0,0.0
2021-11-24,12.7,12.2,12.7,12.2,0.3,300.0
2021-11-23,12.4,12.4,12.4,12.4,-0.6,1300.0
2021-11-22,13.0,13.1,13.1,13.0,-0.1,1000.0
2021-11-19,13.1,13.0,13.25,13.0,0.0,5500.0
2021-11-18,13.1,13.0,13.2,13.0,0.1,4100.0
2021-11-17,13.0,13.0,13.3,12.5,0.0,1400.0
2021-11-16,13.0,12.5,13.0,12.5,0.5,7200.0
2021-11-15,12.5,12.35,12.55,12.35,0.1,4300.0
2021-11-12,12.4,12.35,12.4,12.1,0.4,1400.0
2021-11-11,12.0,12.25,12.3,12.0,-0.25,2200.0
2021-11-10,12.25,12.2,12.4,12.2,0.05,3900.0
2021-11-09,12.2,12.2,12.8,12.2,0.0,1400.0
2021-11-08,12.2,12.4,12.4,12.0,-0.2,3700.0
2021-11-05,12.4,12.4,12.5,12.4,-0.9,8800.0
2021-11-04,13.3,13.3,13.3,13.3,0.0,0.0
2021-11-03,13.3,12.4,13.3,12.0,0.4,2000.0
2021-11-02,12.9,12.9,12.9,12.0,0.0,44700.0
2021-11-01,12.9,13.4,13.4,12.9,0.0,2800.0
2021-10-29,12.9,11.55,13.0,11.55,0.7,6800.0
2021-10-28,12.2,12.2,12.2,12.2,0.0,0.0
2021-10-27,12.2,12.2,12.2,12.2,0.0,0.0
2021-10-26,12.2,12.2,12.2,12.2,0.0,0.0
2021-10-25,12.2,12.2,12.2,12.2,0.0,300.0
2021-10-22,12.2,11.6,12.2,11.6,-0.15,500.0
2021-10-21,12.35,12.35,12.35,12.35,0.0,100.0
2021-10-20,12.35,12.35,12.35,12.35,0.0,0.0
2021-10-19,12.35,12.35,12.35,12.35,0.0,0.0
2021-10-18,12.35,12.2,12.35,12.2,-0.65,900.0
2021-10-15,13.0,13.0,13.0,13.0,0.0,0.0
2021-10-14,13.0,13.15,13.15,13.0,0.5,300.0
2021-10-13,12.5,12.5,12.5,12.5,-0.3,200.0
2021-10-12,12.8,12.8,12.8,12.8,0.0,2200.0
2021-10-11,12.8,12.4,12.8,12.4,0.8,5200.0
2021-10-08,12.0,12.0,12.0,12.0,0.15,100.0
2021-10-07,11.85,11.8,11.85,11.8,0.05,90600.0
2021-10-06,11.8,11.8,11.8,11.8,0.0,500.0
2021-10-05,11.8,11.8,11.8,11.8,-0.05,300.0
2021-10-04,11.85,12.25,12.25,11.8,-0.35,3100.0
2021-10-01,12.2,12.2,12.2,11.2,0.7,16000.0
2021-09-30,11.5,11.5,11.5,11.5,0.0,0.0
2021-09-29,11.5,11.5,11.5,11.5,-0.6,400.0
2021-09-28,12.1,12.1,12.1,12.1,0.0,6000.0
2021-09-27,12.1,12.1,12.1,12.1,0.0,1400.0
2021-09-24,12.1,12.1,12.1,12.1,0.0,3300.0
2021-09-23,12.1,12.1,12.1,12.1,0.0,1600.0
2021-09-22,12.1,12.05,12.1,12.05,0.0,2500.0
2021-09-21,12.1,11.85,12.2,11.85,0.2,3200.0
2021-09-20,11.9,11.85,11.9,11.85,-0.1,1100.0
2021-09-17,12.0,12.1,12.1,11.4,-0.05,5300.0
2021-09-16,12.05,12.05,12.05,11.5,-0.05,1700.0
2021-09-15,12.1,12.35,12.35,12.1,0.1,700.0
2021-09-14,12.0,11.25,12.1,11.25,-0.05,10700.0
2021-09-13,12.05,12.05,12.05,12.05,0.45,100.0
2021-09-10,11.6,11.6,11.6,11.6,0.05,100.0
2021-09-09,11.55,11.6,11.6,11.55,-0.85,2700.0
2021-09-08,12.4,12.5,12.5,12.4,0.0,200.0
2021-09-07,12.4,12.5,12.5,12.4,0.2,300.0
2021-09-06,12.2,12.0,12.2,11.2,0.2,3900.0
2021-09-01,12.0,12.0,12.1,12.0,0.0,9100.0
2021-08-31,12.0,12.0,12.0,12.0,0.0,100.0
2021-08-30,12.0,12.05,12.05,12.0,-0.05,1200.0
2021-08-27,12.05,12.05,12.05,12.05,0.05,100.0
2021-08-26,12.0,11.3,12.0,11.3,0.0,1200.0
2021-08-25,12.0,12.0,12.0,12.0,-0.25,100.0
2021-08-24,12.25,12.25,12.25,12.25,0.0,0.0
2021-08-23,12.25,12.25,12.25,12.25,0.0,0.0
2021-08-20,12.25,12.25,12.25,12.25,0.0,0.0
2021-08-19,12.25,12.25,12.25,12.25,0.0,0.0
2021-08-18,12.25,12.25,12.25,12.25,0.0,0.0
2021-08-17,12.25,12.2,12.25,12.2,-0.05,1800.0
2021-08-16,12.3,12.0,12.3,12.0,0.05,6500.0
2021-08-13,12.25,12.25,12.25,12.25,-0.05,100.0
2021-08-12,12.3,12.3,12.3,12.3,0.05,100.0
2021-08-11,12.25,12.25,12.25,12.25,-0.05,100.0
2021-08-10,12.3,12.3,12.3,12.3,0.3,100.0
