Date,Close,Open,High,Low,Change,Volume
2022-02-25,8.3,8.3,8.3,8.2,0.0,30900.0
2022-02-24,8.2,8.5,8.6,8.0,-0.3,47700.0
2022-02-23,8.5,8.4,8.6,8.2,0.0,17153.0
2022-02-22,8.5,8.8,8.8,8.4,-0.1,63100.0
2022-02-21,8.7,8.4,8.8,8.4,0.3,107446.0
2022-02-18,8.5,8.3,8.5,8.3,0.1,23000.0
2022-02-17,8.5,8.6,8.6,8.4,-0.1,23364.0
2022-02-16,8.6,8.5,8.7,8.4,0.2,22348.0
2022-02-15,8.5,8.4,8.5,8.3,0.1,11951.0
2022-02-14,8.5,8.5,8.6,8.3,0.1,13000.0
2022-02-11,8.4,8.5,8.5,8.3,-0.1,16050.0
2022-02-10,8.5,8.4,8.7,8.2,0.1,29300.0
2022-02-09,8.7,8.4,8.7,8.2,-0.1,23500.0
2022-02-08,8.9,8.7,8.9,8.7,0.2,6436.0
2022-02-07,8.9,7.8,9.0,7.8,0.7,15800.0
2022-01-28,8.3,8.3,8.3,8.0,0.0,40400.0
2022-01-27,8.3,8.3,8.5,8.2,-0.2,18300.0
2022-01-26,8.3,8.5,8.5,8.2,-0.2,19000.0
2022-01-25,8.6,8.8,8.8,8.2,-0.2,20300.0
2022-01-24,8.8,9.0,9.0,8.4,-0.5,35918.0
2022-01-21,9.2,9.0,9.7,8.6,0.7,66033.0
2022-01-20,9.1,8.2,9.1,8.0,0.9,92400.0
2022-01-19,8.0,8.0,8.6,7.9,0.0,38600.0
2022-01-18,8.3,8.6,8.6,7.3,-0.2,53900.0
2022-01-17,8.5,8.9,8.9,8.0,0.2,108100.0
2022-01-14,8.9,7.7,9.1,7.7,-0.1,158733.0
2022-01-13,9.3,8.7,10.0,8.6,-0.8,103900.0
2022-01-12,10.1,10.1,10.4,10.1,-1.7,214301.0
2022-01-11,11.1,12.0,12.6,11.0,0.1,392950.0
2022-01-10,11.0,10.2,11.0,10.0,1.4,234534.0
2022-01-07,10.0,8.7,10.0,8.7,1.3,474310.0
2022-01-06,8.7,8.5,8.9,8.4,0.2,81251.0
2022-01-05,8.6,8.6,8.8,8.4,0.0,88700.0
2022-01-04,8.6,8.8,8.8,8.5,-0.2,139000.0
2021-12-31,8.8,8.9,8.9,8.5,-0.1,63000.0
2021-12-30,9.0,8.5,9.0,8.5,0.4,111800.0
2021-12-29,8.6,8.5,8.7,8.4,-0.1,117200.0
