Date,Close,Open,High,Low,Change,Volume
2022-02-25,23.0,23.0,23.0,23.0,0.0,0.0
2022-02-24,23.0,25.0,25.0,23.0,-1.2,200.0
2022-02-23,24.2,23.4,24.2,23.4,0.8,2111.0
2022-02-22,23.4,23.4,23.4,23.4,-0.9,1700.0
2022-02-21,24.3,26.8,26.8,24.2,-2.5,2200.0
2022-02-18,26.8,27.0,27.0,26.8,-0.2,2300.0
2022-02-17,27.0,27.0,27.0,27.0,0.0,300.0
2022-02-16,27.0,27.0,27.0,27.0,0.0,500.0
2022-02-15,27.0,27.0,27.0,27.0,0.0,1100.0
2022-02-14,27.0,28.3,28.3,27.0,-1.3,800.0
2022-02-11,28.3,26.8,28.3,26.8,2.2,3400.0
2022-02-10,26.1,25.9,26.1,25.9,0.3,1400.0
2022-02-09,25.8,25.7,25.8,25.7,-0.2,1400.0
2022-02-08,26.0,26.0,26.0,26.0,0.0,0.0
2022-02-07,26.0,26.0,26.0,26.0,0.0,0.0
2022-01-28,26.0,26.2,26.2,26.0,-0.1,200.0
2022-01-27,26.1,24.6,27.5,24.6,1.1,1900.0
2022-01-26,25.0,25.0,25.0,25.0,0.0,0.0
2022-01-25,25.0,25.0,25.0,25.0,0.0,0.0
2022-01-24,25.0,25.0,25.0,25.0,0.0,0.0
2022-01-21,25.0,25.0,25.0,25.0,1.6,1240.0
2022-01-20,23.4,23.4,23.4,23.4,-0.1,300.0
2022-01-19,23.5,23.5,23.5,23.5,0.0,0.0
2022-01-18,23.5,21.8,23.5,21.5,0.0,900.0
2022-01-17,23.5,23.6,23.6,23.5,0.2,200.0
2022-01-14,23.3,23.3,23.3,23.3,0.0,0.0
2022-01-13,23.3,23.3,23.3,23.3,0.0,7.0
2022-01-12,23.3,23.3,23.3,23.3,0.0,0.0
2022-01-11,23.3,23.3,23.3,23.3,0.0,200.0
2022-01-10,23.3,23.3,23.3,23.3,0.0,0.0
2022-01-07,23.3,23.3,23.3,23.3,0.0,900.0
2022-01-06,23.3,22.5,23.3,22.5,0.3,5287.0
2022-01-05,23.0,23.0,23.0,23.0,0.0,1700.0
2022-01-04,23.0,23.0,23.0,23.0,0.5,300.0
2021-12-31,22.5,22.5,22.5,22.5,1.2,306.0
2021-12-30,21.3,21.3,21.3,21.3,0.0,0.0
2021-12-29,21.3,21.3,21.3,21.3,0.0,0.0
2021-12-28,21.3,21.3,21.3,21.3,0.0,0.0
2021-12-27,21.3,21.3,21.3,21.3,-1.7,100.0
2021-12-24,23.0,23.0,23.0,23.0,0.0,0.0
2021-12-23,23.0,23.0,23.0,23.0,0.0,0.0
2021-12-22,23.0,23.0,23.0,23.0,0.0,0.0
2021-12-21,23.0,23.0,23.0,23.0,0.8,778.0
2021-12-20,22.2,22.2,22.2,22.2,0.0,0.0
2021-12-17,22.2,22.3,22.3,22.2,0.1,3000.0
2021-12-16,22.1,22.1,22.1,22.1,0.0,10.0
2021-12-15,22.1,22.1,22.1,22.1,-1.4,100.0
2021-12-14,23.5,22.5,23.5,22.5,0.9,4500.0
2021-12-13,22.6,22.1,22.6,22.1,1.1,6480.0
2021-12-10,21.5,21.5,21.5,21.5,-1.8,100.0
2021-12-09,23.3,23.2,23.3,23.2,1.3,2000.0
2021-12-08,22.0,23.0,23.0,22.0,-1.4,5000.0
2021-12-07,23.4,23.4,23.4,23.4,-0.1,2137.0
2021-12-06,23.5,23.5,23.5,23.5,0.0,38.0
2021-12-03,23.5,23.5,23.5,23.5,0.0,0.0
2021-12-02,23.5,23.4,23.5,23.0,0.1,5800.0
2021-12-01,23.4,23.4,23.4,23.4,2.1,100.0
2021-11-30,21.3,21.5,21.5,21.1,-1.1,3200.0
2021-11-29,22.4,22.4,22.4,22.4,0.0,0.0
2021-11-26,22.4,22.4,22.4,22.4,0.0,0.0
2021-11-25,22.4,22.3,22.4,22.3,-0.1,12300.0
2021-11-24,22.5,22.5,22.5,22.5,1.3,101.0
2021-11-23,21.2,21.2,21.2,21.2,0.0,300.0
2021-11-22,21.2,21.2,21.2,21.2,0.0,600.0
2021-11-19,21.2,21.2,21.2,21.2,0.0,50.0
2021-11-18,21.2,21.2,21.2,21.2,-1.8,1900.0
2021-11-17,23.0,23.0,23.0,23.0,0.0,90.0
2021-11-16,23.0,23.0,23.0,23.0,0.0,10.0
2021-11-15,23.0,21.1,23.0,20.7,0.0,5200.0
2021-11-12,23.0,23.0,23.0,23.0,0.0,0.0
