Date,Close,Open,High,Low,Change,Volume
2022-02-25,18.0,18.5,18.9,18.0,0.3,6816.0
2022-02-24,17.7,18.8,18.8,17.7,-1.2,1082.0
2022-02-23,18.9,18.8,18.9,17.9,0.0,3400.0
2022-02-22,18.9,18.4,18.9,17.6,-0.1,8481.0
2022-02-21,19.0,18.3,19.0,18.3,0.0,3300.0
2022-02-18,19.0,19.0,19.0,18.8,-1.4,10633.0
2022-02-17,20.4,20.5,20.5,20.1,-0.1,3400.0
2022-02-16,20.5,20.5,20.5,20.5,0.0,0.0
2022-02-15,20.5,18.8,20.5,18.8,1.8,203.0
2022-02-14,18.7,18.7,18.7,18.7,0.0,0.0
2022-02-11,18.7,18.7,18.7,18.7,0.0,0.0
2022-02-10,18.7,19.0,19.0,18.7,-0.3,8500.0
2022-02-09,19.0,18.8,19.0,18.7,0.5,4732.0
2022-02-08,18.5,18.5,18.5,18.5,0.0,8.0
2022-02-07,18.5,18.6,18.6,18.5,-0.1,1100.0
2022-01-28,18.6,18.1,18.6,18.1,0.5,300.0
2022-01-27,18.1,18.1,18.1,18.1,-1.6,100.0
2022-01-26,19.7,19.3,19.7,19.3,0.5,341.0
2022-01-25,19.2,19.9,19.9,19.2,0.9,260.0
2022-01-24,18.3,19.6,19.6,18.3,-1.3,2236.0
2022-01-21,19.6,19.5,19.6,19.2,1.7,2020.0
2022-01-20,17.9,17.9,17.9,17.9,-0.7,180.0
2022-01-19,18.6,18.6,18.6,18.6,0.0,1.0
2022-01-18,18.6,18.8,18.8,18.5,-1.5,600.0
2022-01-17,20.1,19.8,20.1,19.8,0.0,5800.0
2022-01-14,20.1,20.5,20.5,20.0,-1.8,900.0
2022-01-13,21.9,21.9,21.9,21.9,1.9,3523.0
2022-01-12,20.0,18.7,20.0,18.7,1.5,16100.0
2022-01-11,18.5,18.5,18.7,18.0,-0.2,1800.0
2022-01-10,18.7,18.9,18.9,18.7,-0.2,1300.0
2022-01-07,18.9,18.7,18.9,18.2,0.0,2008.0
2022-01-06,18.9,18.7,18.9,17.5,0.2,3594.0
2022-01-05,18.7,19.7,19.7,18.7,0.1,1216.0
2022-01-04,18.6,19.3,19.3,18.6,-0.3,1203.0
2021-12-31,18.9,19.2,19.2,18.9,-1.0,307.0
2021-12-30,19.9,18.7,19.9,18.7,0.6,208.0
2021-12-29,19.3,19.0,19.5,19.0,0.4,900.0
2021-12-28,18.9,18.9,18.9,18.9,-1.1,500.0
2021-12-27,20.0,19.7,20.0,19.7,0.3,1001.0
2021-12-24,19.7,19.1,19.7,19.1,0.5,2900.0
2021-12-23,19.2,19.2,19.2,19.2,1.5,700.0
2021-12-22,17.7,17.7,17.7,17.7,-0.8,100.0
2021-12-21,18.5,19.4,19.4,18.5,-1.3,596.0
2021-12-20,19.8,19.8,19.8,19.8,1.0,406.0
