Date,Close,Open,High,Low,Change,Volume
2022-02-25,8.1,8.1,8.1,8.1,0.0,18110.0
2022-02-24,8.1,8.1,8.1,8.1,-0.1,19200.0
2022-02-23,8.3,8.1,8.3,8.1,0.2,75762.0
2022-02-22,8.1,8.1,8.1,8.1,-0.1,6300.0
2022-02-21,8.2,8.3,8.3,8.1,-0.1,4100.0
2022-02-18,8.3,8.4,8.4,8.1,0.2,2600.0
2022-02-17,8.4,8.4,8.4,8.1,0.1,21101.0
2022-02-16,8.4,8.1,8.4,8.1,0.3,430.0
2022-02-15,8.0,8.1,8.5,8.0,-0.1,7500.0
2022-02-14,8.3,8.2,8.3,8.1,0.1,10500.0
2022-02-11,8.2,8.2,8.2,8.1,-0.4,2892.0
2022-02-10,8.3,8.6,8.6,8.3,-0.3,5100.0
2022-02-09,8.6,8.8,8.8,8.5,0.0,500.0
2022-02-08,8.6,8.3,8.8,8.3,0.3,2700.0
2022-02-07,8.5,8.5,8.6,8.1,0.4,720.0
2022-01-28,8.6,8.8,8.8,8.1,0.5,75900.0
2022-01-27,8.3,8.8,8.8,8.1,0.1,4200.0
2022-01-26,8.9,8.1,8.9,8.1,0.8,48300.0
2022-01-25,8.1,8.1,8.1,8.1,0.0,49100.0
2022-01-24,8.1,8.1,8.2,8.1,0.0,40916.0
2022-01-21,8.1,8.1,8.1,8.1,0.0,14120.0
2022-01-20,8.1,8.1,8.2,8.1,-0.1,6600.0
2022-01-19,8.2,8.2,8.2,8.1,0.1,13800.0
2022-01-18,8.2,8.1,8.2,8.0,0.1,64616.0
2022-01-17,8.1,8.0,8.2,8.0,0.1,19800.0
2022-01-14,8.0,8.0,8.1,8.0,0.0,25524.0
2022-01-13,8.0,8.1,8.1,8.0,-0.1,29900.0
2022-01-12,8.1,8.2,8.2,8.1,-0.1,32500.0
2022-01-11,8.2,8.4,8.5,8.0,0.2,41800.0
2022-01-10,8.0,7.9,8.5,7.9,0.1,95900.0
2022-01-07,8.0,8.0,8.0,7.8,0.1,9800.0
2022-01-06,7.9,8.0,8.0,7.9,0.0,17900.0
2022-01-05,8.0,8.0,8.0,7.8,0.0,18100.0
2022-01-04,8.0,7.9,8.0,7.9,0.1,3630.0
2021-12-31,7.9,7.9,8.0,7.9,-0.1,13600.0
2021-12-30,8.0,7.9,8.0,7.9,0.1,6100.0
2021-12-29,7.9,7.9,7.9,7.8,-0.1,1900.0
2021-12-28,7.9,7.8,8.0,7.6,0.0,20100.0
2021-12-27,8.0,8.0,8.0,7.8,0.2,4200.0
2021-12-24,7.8,7.9,7.9,7.8,-0.1,6100.0
2021-12-23,7.9,8.0,8.0,7.9,-0.1,25000.0
2021-12-22,7.9,8.1,8.1,7.9,-0.1,7700.0
2021-12-21,8.1,8.0,8.1,8.0,0.1,11100.0
2021-12-20,8.0,8.0,8.0,7.9,0.0,6400.0
2021-12-17,8.1,8.4,8.5,8.0,0.0,22200.0
2021-12-16,8.2,8.1,8.2,8.0,0.1,17700.0
2021-12-15,8.4,8.1,8.4,8.1,0.3,3020.0
2021-12-14,8.1,8.5,8.5,8.0,0.0,14040.0
2021-12-13,8.1,8.3,8.3,8.0,-0.2,24200.0
2021-12-10,8.3,8.1,8.5,8.1,0.2,3800.0
2021-12-09,8.1,8.6,8.6,8.0,-0.1,7240.0
2021-12-08,8.1,8.8,8.8,8.1,0.1,8400.0
2021-12-07,8.0,8.9,8.9,8.0,-0.1,42600.0
2021-12-06,8.0,9.0,9.0,8.0,-0.2,63400.0
2021-12-03,8.5,9.0,9.0,8.0,0.3,59800.0
2021-12-02,8.9,8.6,9.7,8.0,0.4,66900.0
2021-12-01,9.0,8.5,9.0,8.4,1.0,95760.0
2021-11-30,8.4,8.0,8.4,8.0,0.4,113100.0
2021-11-29,8.0,8.0,8.1,8.0,-0.1,21072.0
2021-11-26,8.0,8.3,8.3,8.0,-0.1,10000.0
2021-11-25,8.4,8.4,8.8,7.0,0.4,22800.0
2021-11-24,8.4,8.0,8.4,8.0,0.6,3300.0
2021-11-23,8.5,8.6,8.6,7.4,-0.2,44500.0
2021-11-22,8.7,9.0,9.0,8.7,-0.4,2750.0
2021-11-19,8.8,9.5,9.5,8.8,0.3,10300.0
2021-11-18,9.5,8.6,9.5,8.5,1.0,107100.0
2021-11-17,8.8,8.5,8.8,8.5,0.3,11300.0
2021-11-16,8.5,8.5,8.6,8.5,-0.2,19000.0
2021-11-15,8.9,8.4,9.0,8.4,0.5,9500.0
2021-11-12,8.4,8.3,8.4,8.3,-0.5,7300.0
2021-11-11,8.7,8.9,8.9,8.7,-0.2,1600.0
2021-11-10,9.0,8.6,9.0,8.6,0.4,34376.0
2021-11-09,8.6,8.6,8.7,8.6,0.0,9230.0
2021-11-08,8.6,8.6,8.6,8.5,0.0,27200.0
2021-11-05,8.6,8.6,8.6,8.6,0.0,19116.0
2021-11-04,8.6,8.5,8.6,8.5,0.0,2000.0
2021-11-03,8.6,8.6,8.6,8.6,0.0,100.0
2021-11-02,8.6,8.6,8.6,8.6,-0.1,14140.0
2021-11-01,8.7,7.4,9.6,7.4,0.2,3000.0
2021-10-29,8.5,8.5,8.5,8.5,0.0,50.0
